Ordem de prod,Ref. do Artigo,Data de prod,Temperatura (F°),Peso médio (g),Comprimento médio (mm),Diâmetro,Área da gota (mm),Gotas cortadas (toneladas),Total de Frascos no Dia (unidade),Total de Defeitos no Dia,Onda no fundo,Terminação deformada,Racho no anel,Sujo de óleo,Cascão,Frasco caído na esteira,Dupla costura,Frio,Lascado em produção,Dobra,Trinca por choque térmico,Racho na costura,Racho na terminação,Cava no ombro,Ombro mal cheio,Ombro deformado,Martelado,Aderido
193782,C1265.0000R,2024-05-17,2155.999999999998,132.4,78.4,36.9,2892.96,18.957,144000,214,0,0,0,83,0,0,0,1,1,48,0,0,20,0,0,0,0,6
193782,C1265.0000R,2024-05-18,2155.999999999998,132.9,79.7,37.0,2948.9,19.006,143998,212,0,0,1,95,1,0,0,0,2,24,0,0,24,0,0,0,0,9
193782,C1265.0000R,2024-05-19,2155.679999999999,132.5,79.1,36.3,2871.3299999999995,19.024,144002,264,0,0,4,56,7,0,0,0,2,50,0,0,46,0,0,0,0,11
193782,C1265.0000R,2024-05-20,2155.9799999999987,132.5,66.8,40.1,2678.68,19.006,143968,203,0,0,0,46,8,0,0,0,5,48,0,0,19,0,0,0,0,14
193782,C1265.0000R,2024-05-21,2155.999999999998,133.2,67.7,39.5,2674.15,19.215,144002,231,0,0,0,83,2,0,4,0,5,53,0,0,12,0,0,0,0,21
193782,C1265.0000R,2024-05-22,2155.999999999998,133.1,68.8,38.8,2669.4399999999996,19.085,143992,196,0,0,0,81,1,0,0,0,0,40,0,0,5,0,0,0,0,9
193782,C1265.0000R,2024-05-23,2155.999999999998,132.9,69.7,38.2,2662.5400000000004,19.084,144000,179,0,0,0,80,4,0,0,0,1,28,0,0,14,0,0,0,0,4
193782,C1265.0000R,2024-05-24,2157.759999999999,132.8,70.5,38.2,2693.1000000000004,19.156,144000,198,0,0,0,82,0,0,1,0,3,24,0,0,12,0,0,0,0,4
193782,C1265.0000R,2024-05-25,2129.789999999999,132.8,83.1,39.6,3290.7599999999998,0.737,5500,261,0,0,0,33,0,0,0,0,0,5,0,0,3,0,0,0,0,3
193783,C1215.0000R,2024-05-02,2175.1099999999983,188.5,94.9,36.1,3425.8900000000003,15.76,83568,210,0,0,0,27,0,0,0,0,1,4,4,0,9,0,0,0,0,0
193783,C1215.0000R,2024-05-03,2155.1599999999985,188.6,117.7,36.8,4331.36,26.052,138242,353,0,0,1,71,0,0,0,0,0,22,27,0,16,0,0,0,0,0
193783,C1215.0000R,2024-05-04,2160.059999999999,188.9,110.8,34.1,3778.28,18.324,96960,324,0,0,0,84,0,0,0,0,0,11,10,0,7,0,0,0,0,0
193784,C1203.0000R,2024-05-05,2141.009999999999,174.0,80.9,37.5,3033.75,18.785,108000,218,0,0,0,71,0,0,0,0,2,7,1,0,17,0,1,0,0,0
193784,C1203.0000R,2024-05-06,2139.609999999998,174.6,85.5,40.0,3420.0,18.807,107998,192,0,0,0,91,0,0,0,0,3,5,2,0,16,0,0,1,0,2
193784,C1203.0000R,2024-05-07,2141.76,174.5,89.3,39.5,3527.35,18.816,108000,190,0,4,0,79,0,0,0,1,1,3,1,0,13,1,0,0,0,0
193784,C1203.0000R,2024-05-08,2142.64,174.8,92.1,39.4,3628.74,18.844,108002,190,0,0,0,86,0,0,0,0,1,2,2,0,12,0,0,0,0,0
193784,C1203.0000R,2024-05-09,2136.5999999999985,174.3,92.9,39.1,3632.3900000000003,18.79,107998,184,0,0,0,88,0,0,0,0,3,3,0,0,11,0,0,0,0,0
193784,C1203.0000R,2024-05-10,2129.599999999999,174.1,93.1,39.2,3649.52,18.743,108002,182,0,0,0,89,0,0,0,0,7,1,1,0,10,0,0,0,0,0
193784,C1203.0000R,2024-05-11,2129.599999999999,173.5,93.7,39.3,3682.41,18.728,107998,148,0,0,0,70,0,0,0,0,1,3,0,0,11,0,0,0,0,1
193784,C1203.0000R,2024-05-12,2129.599999999999,174.4,97.4,39.4,3837.56,18.935,108000,158,0,0,0,81,0,0,0,0,5,2,0,0,10,0,0,0,0,0
193784,C1203.0000R,2024-05-13,2129.599999999999,174.8,102.4,39.7,4065.2800000000007,18.901,108000,195,0,0,0,95,0,0,0,0,4,10,1,0,16,0,0,0,0,0
193784,C1203.0000R,2024-05-14,2129.599999999999,174.8,106.1,39.7,4212.17,18.842,107998,188,0,1,0,93,0,0,1,0,0,19,0,0,22,0,0,0,0,0
193784,C1203.0000R,2024-05-15,2147.1299999999987,174.9,79.4,38.2,3033.0800000000004,2.965,16878,228,0,0,0,29,0,0,1,0,0,1,0,0,4,0,0,0,0,0
